slide	first_text	shapes	pictures
1	步步高升	42	0
2	企业员工考核说明	64	0
3	输入标题文字	37	0
4	输入标题文字	45	0
5	龙凤呈祥	63	0
6	大事记	29	0
7	输入标题文字	51	0
8	大事 件二	60	0
9	输入标题文字	36	0
10	孜孜不倦	32	0
11	1	34	0
12	神奇的逻辑图	40	0
13	输入标题文字	50	0
14	逻辑图 观点展示	44	0
15	神奇的逻辑图	57	0
16	逻辑图 观点展示	49	0
17	模式形态一	63	4
18	01	35	0
19	输入标题文字	45	0
20	输入标题文字	39	0
21	神奇的逻辑图	50	0
22	神奇的逻辑图	72	0
23	输入标题文字	31	0
24	输入一级标题	28	0
25	气宇轩昂	34	0
26	意气风发 情投意合 日进斗金	34	0
27	策划	45	0
28	输入标 题文字	32	0
29	神奇的逻辑图	43	0
30	1	41	0
31	输入标题文字	50	0
32	神奇的逻辑图	35	0
33	神奇的逻辑图	50	0
34	蒸蒸日上	37	0
35	鹏程万里	30	0
36	请根据标题在此处输入正文内容支持主题模式一键自由换色	42	0
37	财运亨通	30	0
38	请根据标题在此处输入正文内容支持主题模式一键自由换色	49	0
39	2019.06	37	0
40	登峰造极	31	0
41	相关推荐，引导发现 权益激励，引导决策 情感输出，引导操作	37	0
42	用户获取 行为	69	0
43	付费体系	40	0
44	业务目标	30	0
45	基于用户场景判断	51	0
46	会员中心	30	0
47	01、吸引力 相关指标	30	0
48	农业主题信息缺失，农民信用意识不高，已手机数据以静态为主，缺乏经营、交易等动态数据，分散且应用度不高。	32	0
49	呼叫中心	48	0
50	线索获取	56	0
51	洞察业务	66	0
52	互动直播	42	0
53	C端	33	0
54	不同等级	30	0
55	易用性度量模型	33	0
56	内容消费者侧	72	0
57	设计基础规范（收敛）	46	0
58	触底涉及整个服务周期	55	0
59	海选期	59	0
60	吸睛力	63	0
61	10/09 项目启动	53	0
62	获取用户	51	0
63	基于社交刷屏的 竞品分析	39	0
64	业务战略-多端投放	49	0
65	对会员 完全不了解	35	0
66	测试 工程师	55	0
67	上游供应链	89	0
68	现阶段主要应用在医保支付、商保支付、众筹互助支付、医疗分期和支付工具多个领域	58	0
69	运行时间	60	0
70	关注宏观 掌控全局	65	0
71	设计目标 （DO）	36	0
72	在线挂诊 在线问诊 远程医疗 互联网医院	48	0
73	乳腺患者	53	0
74	极致信任下的	59	0
75	品牌现状现状梳理	59	0
76	吸引 决策	32	0
77	承载形式	43	0
78	收集 共建	31	0
79	设计 落地	34	0
80	逻辑 解构	70	0
81	用户粘性	33	0
82	正向 影响	57	0
83	需求	95	0
84	需求方向	53	0
85	民生服务	46	0
86	易用性 度量	44	0
87	用户	53	0
88	设计价值	41	0
89	需求沟通 组件评估	49	0
90	业务 目标	58	0
91	作品 驱动	28	0
92	STEP 01	71	0
93	缺失大规模行为数据指标 CHI动机不是以用户为中心	52	0
94	CUSTOMER Management 客户管理	67	0
95	趋势认证 Insight by design	52	0
96	趋势设计 Designed by design	50	0
97	品牌一致性 持续传递	47	0
98	数据交互 模块	46	0
99	平台能力	46	0
100	统一性	50	0
101	痛点总结	57	0
102	中国生活垃圾清理	48	0
103	垃圾分类困难型	57	0
104	情绪	66	0
105	决策	46	0
106	上平台充充电	108	0
107	通过点而研究的数据调研分析。进行商业设险，通过调售智些分类价爆桶这样的硬件取利洞的同时计用户配合社用小白智的位圾分委P统	45	0
108	用户选取 平台主播资深主播其他直播	45	0
109	目前用户主要场景需求是“搜素+购买"。我们以用户目标的强弱 特征去规划首页内容,首页不同板块对应着不同的用户,通过分析首	27	0
110	吉祥物作为有形的拟人化形象，能够更直观地为品牌代言，表现出产品的性格和气质。在应用过程中需要注意的是吉祥物的画风和性格要	22	0
111	寄件前	46	0
112	目前用户主要场景需求是“搜素+购买"。我们以用户目标的强弱 特征去规划首页内容,首页不同板块对应着不同的用户,通过分析首	28	0
113	敏捷开发平台应用	79	0
114	行业/场景	101	0
115	业务前台	76	0
116	寄件用户	27	0
117	改版背景	46	0
118	用户体验	35	0
119	需求方	63	0
120	形态一	39	0
121	政策	74	0
122	城市管理方	64	0
123	数字科技专家	79	0
124	产品功能矩阵	74	0
125	产品功能矩阵	75	1
126	产品功能矩阵	102	0
127	提供的私域流量运营方法及工具	101	0
128	运营引擎 为用户提供终端顾问式服务 打造融合营销闭环	139	0
129	系统架构图	93	0
130	企业级技术产品设计探索	100	0
131	解决方案	92	0
132	组织现状	60	0
133	教育机构私域裂变流量	125	0
134	AI中台架构—算法层	91	0
135	构建全链闭环能力，投放效果持续优化	101	0
136	智慧民航解决方案	80	0
137	解决方案	88	0
138	解决方案	59	0
139	解决方案	59	0
140	解决方案	144	0
141	Design Optimization	78	0
